Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Casa;Jardim Botânico;2;0;1;100;7000.0;;
Apartamento;Vista Alegre;3;1;0;70;1200.0;;
Casa de Condomínio;Ramos;2;2;0;65;1000.0;;
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0
Apartamento;Olaria;3;1;0;68;1000.0;670.0;
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;
Apartamento;Barra da Tijuca;2;1;1;70;;970.0;68.0
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0
Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0
Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0
Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0
Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0
Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0
Apartamento;Praça Seca;2;0;0;80;1000.0;;
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0
Casa de Vila;Piedade;2;1;0;70;1300.0;;
