Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;70.0;Casa
Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0;15.38;Casa
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;21.43;Apartamento
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;16.67;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;25.37;Apartamento
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;14.71;Apartamento
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;25.64;Apartamento
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;32.89;Apartamento
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;25.71;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;33.33;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;26.0;Apartamento
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;32.64;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;25.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;19.28;Apartamento
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;36.78;Apartamento
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;17.22;Apartamento
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;20.93;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;25.0;Apartamento
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;25.68;Apartamento
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;42.11;Apartamento
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;16.67;Apartamento
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;43.75;Apartamento
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;40.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;30.68;Apartamento
Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0;19.48;Apartamento
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;29.41;Apartamento
Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;18.59;Apartamento
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;28.99;Apartamento
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;35.26;Apartamento
Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;16.67;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;26.67;Apartamento
Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0;46.51;Apartamento
